1083	1831
1099	1803
1185	1767
1295	1731
1357	1713
1489	1689
1501	1695
1567	1671
1695	1653
1805	1641
1899	1647
2013	1639
2085	1641
2119	1631
2189	1639
2211	1649
2303	1645
2406	1651
2479	1644
2618	1648
2755	1657
2878	1667
3167	1688
3217	1683
3253	1674
3302	1655
3551	1552
3566	1546
3543	1603
3399	1736
3442	1787
3502	1825
3626	1909
3619	1925
3291	1875
3205	1865
3085	1882
3059	1898
2797	1948
2371	2008
2158	2024
1870	2032
1658	2030
1522	2012
1394	2004
1282	1986
1188	1946
1102	1900
1074	1868
1072	1852
